Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,96,-0.3521,14.1325,0.08067,12.08003,12.41361,12.76787,13.39097,14.1325,14.93065,15.70201,16.18957,16.68618
1,96.5,-0.3521,14.2544,0.08078,12.18169,12.51852,12.87624,13.50549,14.2544,15.06057,15.83976,16.33231,16.83404
1,97,-0.3521,14.3782,0.08092,12.28423,12.62446,12.98583,13.62153,14.3782,15.19284,15.9803,16.47814,16.98528
1,97.5,-0.3521,14.5038,0.08106,12.38826,12.73194,13.097,13.73924,14.5038,15.32703,16.1229,16.6261,17.13875
1,98,-0.3521,14.6316,0.08122,12.49363,12.8409,13.20979,13.85884,14.6316,15.46379,16.26843,16.77723,17.29563
1,98.5,-0.3521,14.7614,0.08139,12.60041,12.95136,13.32417,13.98021,14.7614,15.60279,16.41646,16.93104,17.45536
1,99,-0.3521,14.8934,0.08157,12.70876,13.06348,13.44033,14.10354,14.8934,15.74427,16.56723,17.08775,17.61818
1,99.5,-0.3521,15.0275,0.08177,12.81834,13.17696,13.55799,14.22865,15.0275,15.88821,16.72085,17.24756,17.78436
1,100,-0.3521,15.1637,0.08198,12.92938,13.292,13.67733,14.35561,15.1637,16.03453,16.87711,17.41019,17.95354
1,100.5,-0.3521,15.3018,0.0822,13.04171,13.40842,13.79814,14.48425,15.3018,16.18301,17.03581,17.57543,18.12551
1,101,-0.3521,15.4419,0.08243,13.1554,13.5263,13.92051,14.61464,15.4419,16.33376,17.19705,17.74339,18.3004
1,101.5,-0.3521,15.5838,0.08267,13.27026,13.64546,14.04427,14.74659,15.5838,16.48658,17.36062,17.91387,18.47798
1,102,-0.3521,15.7276,0.08292,13.38639,13.76597,14.16948,14.88021,15.7276,16.64157,17.52665,18.08698,18.65839
1,102.5,-0.3521,15.8732,0.08317,13.50393,13.88796,14.29624,15.01548,15.8732,16.79852,17.69479,18.26231,18.84113
1,103,-0.3521,16.0206,0.08343,13.62264,14.01121,14.42437,15.15231,16.0206,16.95755,17.86529,18.44018,19.0266
1,103.5,-0.3521,16.1697,0.0837,13.74241,14.13562,14.55376,15.2906,16.1697,17.11855,18.03804,18.62048,19.2147
1,104,-0.3521,16.3204,0.08397,13.86342,14.26132,14.6845,15.43035,16.3204,17.2813,18.21271,18.8028,19.40491
1,104.5,-0.3521,16.4728,0.08425,13.98548,14.38817,14.8165,15.57155,16.4728,17.44604,18.38963,18.98757,19.59777
1,105,-0.3521,16.6268,0.08453,14.10877,14.51631,14.94985,15.71422,16.6268,17.61253,18.56848,19.17436,19.79277
