Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,73,-0.3833,8.7661,0.09031,7.361399,7.586879,7.827544,8.253844,8.7661,9.323402,9.867777,10.21478,10.57052
2,73.5,-0.3833,8.8638,0.09025,7.444278,7.672153,7.915366,8.346165,8.8638,9.426922,9.976953,10.32754,10.68695
2,74,-0.3833,8.9601,0.09018,7.526142,7.756351,8.002049,8.437231,8.9601,9.52888,10.0844,10.43847,10.80143
2,74.5,-0.3833,9.0552,0.09012,7.606876,7.839407,8.087576,8.527118,9.0552,9.629617,10.19061,10.54816,10.91467
2,75,-0.3833,9.149,0.09005,7.68668,7.921476,8.172055,8.615846,9.149,9.728897,10.29521,10.65612,11.02607
2,75.5,-0.3833,9.2418,0.08999,7.765519,8.002572,8.255554,8.703582,9.2418,9.827172,10.3988,10.76308,11.13648
2,76,-0.3833,9.3337,0.08992,7.843766,8.08303,8.338363,8.790535,9.3337,9.924413,10.50122,10.86878,11.24553
2,76.5,-0.3833,9.4252,0.08985,7.921697,8.163159,8.420829,8.87712,9.4252,10.02122,10.60317,10.97399,11.35406
2,77,-0.3833,9.5166,0.08979,7.999415,8.24309,8.503115,8.96356,9.5166,10.11798,10.70513,11.07925,11.46269
2,77.5,-0.3833,9.6086,0.08972,8.077806,8.323686,8.586055,9.050631,9.6086,10.2153,10.80761,11.18499,11.57176
2,78,-0.3833,9.7015,0.08965,8.156974,8.405079,8.669814,9.138558,9.7015,10.31357,10.91107,11.29176,11.68189
2,78.5,-0.3833,9.7957,0.08959,8.237102,8.487483,8.754641,9.227657,9.7957,10.41328,11.01613,11.40021,11.7938
2,79,-0.3833,9.8915,0.08952,8.318749,8.571423,8.841019,9.318332,9.8915,10.51461,11.12282,11.51029,11.90735
2,79.5,-0.3833,9.9892,0.08946,8.401858,8.656893,8.929001,9.410743,9.9892,10.61803,11.23178,11.62277,12.02341
2,80,-0.3833,10.0891,0.0894,8.486836,8.744286,9.018962,9.505233,10.0891,10.72377,11.3432,11.73778,12.14209
2,80.5,-0.3833,10.1916,0.08934,8.574021,8.833949,9.111262,9.602181,10.1916,10.83227,11.45752,11.85579,12.26386
2,81,-0.3833,10.2965,0.08928,8.663244,8.925709,9.20572,9.701398,10.2965,10.94331,11.57452,11.97656,12.3885
2,81.5,-0.3833,10.4041,0.08923,8.754596,9.019686,9.302492,9.803103,10.4041,11.05729,11.69469,12.10066,12.51662
2,82,-0.3833,10.514,0.08918,8.8479,9.115672,9.401333,9.906981,10.514,11.1737,11.81743,12.22742,12.64747
2,82.5,-0.3833,10.6263,0.08914,8.943074,9.21361,9.502215,10.01306,10.6263,11.29274,11.94301,12.35716,12.78146
